Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
SDSS r,1,1.3,0.396,0.325,0.25,0.7349874981139074,0.3112279409003532,1.488522588266793,,0.7349246641879663,0.3099370904372781,1.3693129318020358,0.7295541105360541
SDSS r,1,1.3,0.396,0.39684297252195966,0.30526382501689203,0.7734337789010203,0.3801894223862435,1.5724444665999289,,0.7732871343886315,0.3782948612709559,1.460558336007385,0.8910098096520357
SDSS r,1,1.3,0.396,0.48456721489250715,0.37274401145577474,0.827240530581304,0.46892922185590735,1.68687639748253,,0.8269067448299533,0.4664172600602265,1.5854128436428905,1.0909654116542122
SDSS r,1,1.3,0.396,0.5916833659834762,0.4551410507565201,0.900323892791456,0.5745106899350676,1.841008145807864,,0.8996994294569481,0.5719573037106537,1.7596498230272881,1.334511288649684
SDSS r,1,1.3,0.396,0.7224781099959423,0.555752392304571,0.9954050118232255,0.7080877993954896,2.0479735705512994,,0.9941302970328909,0.7043146074570756,1.9917761403229475,1.6326191953929645
SDSS r,1,1.3,0.396,0.8821857253933447,0.6786044041487267,1.1171281581143429,0.8652654940653381,2.3211792097944355,,1.115212330759287,0.8606414416480975,2.2966394332903497,1.9955468024480454
SDSS r,1,1.3,0.396,1.077197555635496,0.8286135043349969,1.2772815249366083,1.0614497003993235,2.677319156439663,,1.2745184763255788,1.0561479429346299,2.689690456656639,2.4387271344270394
SDSS r,1,1.3,0.396,1.3153177845285515,1.0117829111758088,1.4786677824591312,1.2968308758822664,3.1371905172436136,,1.4758229748459666,1.2912240204783987,3.188799461945636,2.980702431655987
SDSS r,1,1.3,0.396,1.6060757520717193,1.2354428862090148,1.7398626661255967,1.5850222216788479,3.7160423227576067,,1.7351191274836741,1.5782178361767343,3.816736801459153,3.6443974228255986
SDSS r,1,1.3,0.396,1.9611073093771783,1.508544084136291,2.068644014881635,1.9387582811741981,4.4411371344610515,,2.0623059361034444,1.9296652300168793,4.594565681557364,4.451962536351177
SDSS r,1,1.3,0.396,2.3946204741162513,1.8420157493201934,2.478155354858024,2.374091240569205,5.344757094850615,,2.469476672388994,2.3644815025899066,5.557002587716315,5.439215025297527
SDSS r,1,1.3,0.396,2.9239640215699625,2.2492030935153555,2.987617768521,2.9024342812905815,6.457986716860037,,2.9757242410555778,2.8897194692046955,6.742383708748087,6.646685866226729
SDSS r,1,1.3,0.396,3.5703217657448847,2.7464013582652957,3.618781049367951,3.546616464798648,7.829918784678152,,3.603769267305033,3.5312296102408287,8.197943747553689,8.118470595557023
SDSS r,1,1.3,0.396,4.3595603150093885,3.3535079346226064,4.392584311556658,4.335104849082862,9.51438116210973,,4.375111291604184,4.315164294125602,9.981538055629986,9.916618929312422
SDSS r,1,1.3,0.396,5.323264228606452,4.0948186373895785,5.344252816652687,5.298690168334939,11.57819003361146,,5.322878628369847,5.275267751722606,12.165773449209171,12.113160368975851
SDSS r,1,1.3,0.396,6.5,5.0,6.5111633067871235,6.47201486865865,14.105094948532333,,6.483068517422534,6.4430934831217614,14.838329606150554,14.7939617770176
SDSS r,2,1.3,0.396,0.325,0.25,0.7698444429329684,0.3029107408626051,1.5577641305699774,,0.7667398884352022,0.2843160799766717,1.516232090011869,0.8741315922657011
