Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,0,0,2842494018519054,30.412510288560437,-1.2161321627819055,main,dark,17810,True,True,True,True,
1,1,1,2842562075295745,126.91678480549804,1.492287981389692,main,dark,21869,True,True,True,True,
2,2,2,2842586905575427,166.8524571625006,2.514222738907887,main,dark,27082,True,True,True,True,
3,3,3,2842629343543297,178.65025046475063,4.353567709399797,main,dark,27684,True,True,True,True,
4,4,4,2842714362085392,230.41564867508183,7.73102665397223,main,dark,8268,True,True,True,True,
5,5,5,2843493688934400,137.74251882467274,44.36428013817462,main,dark,5807,True,True,True,True,
6,6,6,2851316854423552,184.25236724047923,-0.1635759195271451,main,dark,26276,True,True,True,True,
7,7,7,2851377957044228,226.35844207277268,2.1267992060161505,main,dark,8196,True,True,True,True,
8,8,8,2851461398528000,168.4621458447114,5.814038032233237,main,dark,27122,True,True,True,True,
9,9,9,2852276544733184,127.62073029249794,43.5077764928164,main,dark,6509,True,True,True,True,
10,10,10,39089837394892133,149.0843890295926,2.230382239927354,special,other,27247,True,True,True,True,
11,11,11,39089837394892537,149.20120163998666,2.2691117564666223,special,other,27247,True,True,False,False,Galaxy size processing returned None
12,12,12,39089837394953887,148.96159084282607,1.2361677018537067,special,other,27246,True,True,True,True,
13,13,13,39089837394976150,151.07105438395791,3.345980244574287,special,other,27262,True,True,True,True,
14,14,14,39089837395015378,150.64616765077454,1.840279241166238,special,other,27256,True,True,True,True,
15,15,15,39089837395023107,150.51103688703833,2.806185471471246,special,other,27259,True,True,True,True,
16,16,16,39089837395025959,150.34020338854114,1.016306313366283,special,other,27239,True,True,True,True,
17,17,17,39627190811231403,159.06186705797472,-25.596741960593167,sv1,dark,38872,True,True,True,True,
18,18,18,39627340367535432,55.062036996229175,-18.633430675082888,main,bright,36247,True,True,True,True,
19,19,19,39627345664937758,27.729578089599272,-18.423900189970933,main,bright,36530,True,True,True,True,
20,20,20,39627346109532242,55.58885483481611,-18.393406807661332,main,bright,36290,True,True,True,True,
21,21,21,39627351155287182,12.326279583363634,-18.245100859804687,main,bright,16833,True,True,True,True,
22,22,22,39627351956393774,62.395394315048094,-18.32954821892876,main,bright,36209,True,True,True,True,
23,23,23,39627351973170634,63.438971544871904,-18.25986626748793,main,bright,36190,True,True,True,True,
24,24,24,39627357035699139,20.647378566184685,-17.992856602664993,main,bright,16733,True,True,True,True,
25,25,25,39627357673233655,60.568101790413,-17.915330148387604,main,bright,36216,True,True,True,True,
26,26,26,39627363411038155,59.30371198365239,-17.653102914986462,main,dark,36207,True,False,True,True,
27,27,27,39627368578422335,22.125174644970887,-17.41264608046883,main,bright,17411,True,True,True,True,
28,28,28,39627374932791623,58.40969259859859,-17.285885536893453,main,bright,36293,True,True,True,True,
29,29,29,39627380230194485,28.242946261845045,-17.052355877278277,main,dark,36534,True,True,True,True,
30,30,30,39627380809010392,64.3841806397699,-17.10100713973558,main,dark,36213,True,True,True,True,
31,31,31,39627385728929567,10.878950719002722,-16.62506373090865,main,bright,16844,True,True,True,True,
32,32,32,39627386551018817,62.06132582922142,-16.63866527794537,main,bright,36220,True,True,True,True,
33,33,33,39627403332427782,24.123929479282168,-16.046973666997136,main,dark,17415,True,True,True,True,
34,34,34,39627403370173632,26.407544360759054,-15.943052637877315,main,bright,17425,True,True,True,True,
35,35,35,39627403781216223,51.89119500589325,-15.990571744728356,main,bright,36279,True,True,True,True,
36,36,36,39627408919234708,9.969222554399224,-15.821105768068946,main,dark,16846,True,True,True,True,
37,37,37,39627409095397663,20.864267336834253,-15.725961951885948,main,bright,17441,True,True,True,True,
38,38,38,39627415147777389,35.0555743973225,-15.443328642559054,main,bright,36568,True,True,True,True,
39,39,39,39627415445573814,53.488991141870926,-15.407690579079874,main,bright,36323,True,True,True,True,
40,40,40,39627415445573814,53.488991141870926,-15.407690579079874,main,dark,36323,True,True,True,True,
41,41,41,39627415651094679,66.20593322755288,-15.418604026096,main,bright,22564,True,True,True,True,
42,42,42,39627426573063692,20.05549099565019,-14.905225430360874,main,bright,17443,True,True,True,True,
43,43,43,39627426992490633,45.85041384550669,-15.112407690614642,main,bright,36632,True,True,True,True,
44,44,44,39627432432508209,21.379073735319885,-14.824457210162269,main,bright,17444,True,True,True,True,
45,45,45,39627432960983364,53.72314711370333,-14.721212817674823,main,bright,36326,True,True,True,True,
46,46,46,39627438182892924,15.261090710821842,-14.44689063758356,main,dark,16854,True,True,False,False,Galaxy size processing returned None
47,47,47,39627438304529228,22.761716760532817,-14.532782346003582,main,bright,17434,True,True,True,True,
48,48,48,39627444537266615,45.979363883709794,-14.244544462254346,main,bright,36634,True,True,True,True,
