Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,7000,7000,39633455750843906,188.54204687069057,66.12789111846143,main,bright,11940,True,True,True,True,
1,7001,7001,39633455763426899,190.46631432814507,66.30934797008409,main,bright,11941,True,True,True,True,
2,7002,7002,39633456287712561,267.08326922794305,66.18057235612746,sv3,bright,11604,True,True,True,True,
3,7003,7003,39633456312878232,270.80715407987975,66.14499672208422,sv3,dark,15359,True,True,True,True,
4,7004,7004,39633456459680496,292.5288952460362,66.35228309272541,main,bright,15935,True,True,True,True,
5,7005,7005,39633456459680496,292.5288952460362,66.35228309272541,main,dark,15935,True,True,True,True,
6,7006,7006,39633457604723796,101.68912901154272,66.49530074314262,main,bright,7834,True,True,True,True,
7,7007,7007,39633457646665882,107.76961233501709,66.57664246553173,main,bright,7830,True,True,True,True,
8,7008,7008,39633457667637906,110.96649159406977,66.56517631590546,main,bright,7829,True,True,True,True,
9,7009,7009,39633457676029310,112.61855073129588,66.5482227198018,main,bright,7786,True,True,True,True,
10,7010,7010,39633457684417828,113.91361659235564,66.47963608959783,main,bright,7786,True,True,True,True,
11,7011,7011,39633457726357965,119.64503856979226,66.4981520125501,main,bright,7782,True,True,True,True,
12,7012,7012,39633457847993090,137.7757528423138,66.40185830822506,main,bright,7592,True,True,True,True,
13,7013,7013,39633457906712975,146.4336255846571,66.43526992504763,main,bright,7578,True,True,True,True,
14,7014,7014,39633457952852669,153.6716164311176,66.39944303157687,main,bright,7574,True,True,True,True,
15,7015,7015,39633458045126782,167.3093196445675,66.42732096528256,main,bright,7525,True,True,True,True,
16,7016,7016,39633458078680975,172.25134656417387,66.50228141997975,main,bright,7513,True,True,True,True,
17,7017,7017,39633458087070390,173.57272735392473,66.4989967084694,main,bright,7513,True,True,True,True,
18,7018,7018,39633458116430078,177.93914265426326,66.58788287551398,main,bright,7509,True,True,True,True,
19,7019,7019,39633458716214688,266.7798104303259,66.41516104105418,sv3,bright,11606,True,True,True,True,
20,7020,7020,39633458720410103,267.5518235663844,66.43465470787956,sv3,bright,11605,True,True,True,True,
21,7021,7021,39633458728799650,268.94925001082504,66.44632573113995,sv3,bright,11605,True,True,True,True,
22,7022,7022,39633458904961447,295.174853056699,66.38933075872112,main,bright,15978,True,True,True,True,
23,7023,7023,39633458913350437,296.4500691349423,66.57519438450348,main,dark,15977,True,True,True,True,
24,7024,7024,39633458917544790,297.0362607083711,66.57460833375873,main,bright,15977,True,True,True,True,
25,7025,7025,39633459978699444,95.13515311556353,66.72646972346226,main,bright,7852,True,False,True,True,
26,7026,7026,39633459978700980,95.35053489154578,66.84984743797084,main,bright,7852,True,True,True,True,
27,7027,7027,39633460029032981,102.95285867256425,66.78556051775315,main,bright,7834,True,True,True,True,
28,7028,7028,39633460054196616,106.40722718142293,66.65447642192305,main,bright,7836,True,True,True,True,
29,7029,7029,39633460054199297,106.79721553344592,66.66458299832053,main,bright,7836,True,True,True,True,
30,7030,7030,39633460318438875,146.32409840320952,66.87150872643318,main,bright,7600,True,True,True,True,
31,7031,7031,39633460461045019,167.6531314725283,66.87003925960724,main,bright,7525,True,True,True,True,
32,7032,7032,39633460502987240,173.7648632833039,66.70571427547975,main,bright,7513,True,True,True,True,
33,7033,7033,39633460511375548,175.00775726278044,66.80707591601484,main,bright,7516,True,True,True,True,
34,7034,7034,39633461119553126,266.7182528797547,66.69262667721244,sv3,bright,11606,True,True,True,True,
35,7035,7035,39633461257966178,287.5392898300204,66.7356943330707,main,bright,16022,True,True,True,True,
36,7036,7036,39633461299909604,293.8547481085598,66.74844922223838,main,bright,15978,True,True,False,False,Galaxy size processing returned None
37,7037,7037,39633462403006634,99.88123707261556,66.9451956058833,main,bright,7856,True,True,True,True,
38,7038,7038,39633462491090584,113.75945358718052,67.03000324827846,main,bright,7787,True,True,True,True,
39,7039,7039,39633462495283796,114.2021673978056,66.90590553785584,main,bright,7787,True,True,True,True,
40,7040,7040,39633462696609545,144.7215858163007,67.07505695923611,main,bright,7591,True,True,True,True,
41,7041,7041,39633462960849841,184.6353355710847,66.95652247316696,main,bright,11948,True,True,True,True,
42,7042,7042,39633463652912020,289.78708061550344,67.03038808486316,main,bright,16023,True,True,True,True,
43,7043,7043,39633464839899666,110.94481864630224,67.26642771610443,main,bright,7872,True,True,True,True,
44,7044,7044,39633464873452984,115.9520960912326,67.19738483973386,main,bright,7787,True,True,True,True,
45,7045,7045,39633465062196610,144.9121744851638,67.22433510119855,main,bright,7591,True,True,True,True,
46,7046,7046,39633465104140247,151.4257214398963,67.17168075447498,main,bright,7580,True,True,True,True,
47,7047,7047,39633465225774859,170.018323447294,67.18787353742465,main,bright,7536,True,True,True,True,
48,7048,7048,39633465250938906,173.57418662591556,67.25857221860946,main,bright,7515,True,True,True,True,
49,7049,7049,39633465863308798,267.6403272621857,67.32237553577366,sv3,dark,11607,True,False,True,True,
50,7050,7050,39633465863311809,268.03309040234996,67.20312448695918,main,bright,11607,True,True,True,True,
51,7051,7051,39633466005918329,289.8737303206059,67.19451837499432,main,bright,16023,True,True,False,False,Galaxy size processing returned None
52,7052,7052,39633467092241726,97.26675516605133,67.52621564266528,main,bright,7847,True,True,True,True,
53,7053,7053,39633467092242041,97.309498152885,67.50514750111314,main,bright,7847,True,True,True,True,
54,7054,7054,39633467104823206,99.0184215151726,67.4814591487868,main,bright,7856,True,True,True,True,
55,7055,7055,39633467188709508,112.09508716154494,67.43812698565058,main,bright,7872,True,True,True,True,
56,7056,7056,39633467205484577,114.36940792549292,67.53093968076954,main,bright,7787,True,True,True,True,
57,7057,7057,39633467327123016,133.72771302493138,67.49268352153896,main,bright,7938,True,True,True,True,
58,7058,7058,39633467352285890,137.25245951616222,67.42390611502907,main,bright,7595,True,True,True,True,
59,7059,7059,39633467507477806,161.72506462149698,67.58299369344299,main,bright,7531,True,True,True,True,
60,7060,7060,39633467582972097,172.8837444717627,67.39268319951658,main,bright,7515,True,True,True,True,
61,7061,7061,39633467650084530,183.87143695574932,67.46671079355865,main,bright,11948,True,True,True,True,
62,7062,7062,39633468195340518,267.7492584636399,67.49125416090949,sv3,dark,11613,True,True,True,True,
63,7063,7063,39633468199537880,268.88345624910914,67.603570894069,sv3,bright,11607,True,True,True,True,
64,7064,7064,39633468325364266,287.9438795903121,67.58475029702115,main,bright,16023,True,True,True,True,
65,7065,7065,39633468325364410,287.969220922666,67.45075891175051,main,bright,16023,True,True,True,True,
66,7066,7066,39633468325367019,288.335493457711,67.52621571067405,main,bright,16023,True,True,True,True,
67,7067,7067,39633468325367703,288.44331365656063,67.5776341302379,main,bright,16023,True,True,True,True,
68,7068,7068,39633468337950159,290.2724169651268,67.56509252835801,main,bright,16066,True,True,True,True,
69,7069,7069,39633468358919558,293.2553868247553,67.54457191474373,main,bright,16065,True,True,True,True,
70,7070,7070,39633468367311569,295.0051966799681,67.44558195779365,main,bright,15979,True,True,True,True,
71,7071,7071,39633469415887097,98.13287254781076,67.82150913744445,main,bright,7858,True,True,True,True,
72,7072,7072,39633469524937537,115.07239645315732,67.79627388782272,main,bright,7790,True,True,True,True,
73,7073,7073,39633469541715175,117.770369065049,67.83890256798861,main,bright,7789,True,True,True,True,
74,7074,7074,39633469541715398,117.81158418610649,67.8031355943744,main,bright,7789,True,True,True,True,
75,7075,7075,39633469545906936,117.93642471723982,67.83216584622217,main,bright,7789,True,True,True,True,
76,7076,7076,39633469759816261,151.31013280460405,67.87471239676108,main,bright,7582,True,True,True,True,
77,7077,7077,39633469864673512,167.6037961481131,67.63085035786135,main,bright,7527,True,True,True,True,
78,7078,7078,39633469894034381,172.34377084765188,67.87327665494472,main,bright,7537,True,True,True,True,
79,7079,7079,39633469977919987,185.3293290916256,67.74259769830321,main,bright,11949,True,True,True,True,
80,7080,7080,39633470015669749,191.38359481507908,67.83806282616598,main,bright,11953,True,True,True,True,
81,7081,7081,39633470053419067,197.423979551682,67.85749723848774,main,bright,11933,True,True,True,True,
82,7082,7082,39633470506405937,268.33501703028753,67.62839852752637,sv3,bright,11613,True,True,True,True,
83,7083,7083,39633470569318069,277.8298062487414,67.81817983076644,main,bright,16050,True,True,True,True,
84,7084,7084,39633471735333738,100.6988851286469,67.92430210851728,main,bright,7857,True,True,True,True,
85,7085,7085,39633471760499483,104.68563699232055,68.01485949676707,main,bright,7838,True,True,True,True,
86,7086,7086,39633471907300350,127.8938262905438,67.90552110995215,main,bright,7774,True,True,True,True,
87,7087,7087,39633471932465611,131.76776394785486,67.97496308893272,main,dark,7773,True,True,True,True,
88,7088,7088,39633472104432641,158.97965634699946,68.12365523666278,main,bright,7619,True,True,True,True,
89,7089,7089,39633472184126192,171.90938189252387,67.8788147741577,main,bright,7537,True,True,True,True,
90,7090,7090,39633472268012907,185.27038054205784,68.08655422499612,main,bright,11949,True,True,True,True,
91,7091,7091,39633472955879228,293.68976550253075,67.93699150307226,main,bright,16065,True,True,True,True,
92,7092,7092,39633474008646371,100.46463894018557,68.26794802139806,main,bright,7857,True,True,True,True,
93,7093,7093,39633474008649036,100.8626359790748,68.1323112352974,main,bright,7857,True,False,True,True,
94,7094,7094,39633474017038427,102.34958796049148,68.3706358215599,main,bright,7838,True,True,True,True,
95,7095,7095,39633474038007461,105.31832770414825,68.23622522672754,main,bright,7837,True,True,True,True,
96,7096,7096,39633474084143549,112.49180338496014,68.33716674672011,main,bright,7873,True,True,True,True,
97,7097,7097,39633474176419591,127.47799870115352,68.26244981118192,main,dark,7774,True,True,True,True,
98,7098,7098,39633474197389585,130.5300799561732,68.29104923240612,main,dark,7773,True,True,True,True,
99,7099,7099,39633474197391788,130.92774067902877,68.22085990115404,main,dark,7773,True,True,True,True,
100,7100,7100,39633474302247901,147.4244604341749,68.26796187894399,main,bright,7603,True,True,True,True,
101,7101,7101,39633474335802552,152.81417478812017,68.16487730234097,main,bright,7583,True,True,True,True,
102,7102,7102,39633474415494842,165.61085729377265,68.16166820813025,main,bright,7535,True,True,True,True,
103,7103,7103,39633474558100721,188.26010782075795,68.33043476349276,main,bright,11955,True,True,True,True,
104,7104,7104,39633475191441043,289.3069011309663,68.33334973681448,main,bright,16066,True,True,True,True,
105,7105,7105,39633476227434469,95.71188969641474,68.5630758215291,main,bright,7864,True,True,True,True,
106,7106,7106,39633476235823011,97.07687511797872,68.51870758891204,main,bright,7859,True,True,True,True,
107,7107,7107,39633476277765277,103.71604536953812,68.50992700902911,main,bright,7839,True,True,True,True,
108,7108,7108,39633476294541449,106.2598346334891,68.40430796384022,main,bright,7837,True,True,True,True,
109,7109,7109,39633476311321806,109.47722558713464,68.62203521687894,main,bright,7875,True,True,True,True,
110,7110,7110,39633476542006214,146.31063461186633,68.5589317355997,main,bright,7603,True,True,True,True,
111,7111,7111,39633476659450060,165.7576796307247,68.38509115562394,main,bright,7535,True,True,True,True,
112,7112,7112,39633476743334339,179.09986759417606,68.38432198134755,main,bright,7517,True,True,True,True,
113,7113,7113,39633477234067880,258.20465082067875,68.56747998073581,main,bright,11640,True,True,True,True,
114,7114,7114,39633477414421293,287.00569994128125,68.57828224631278,main,bright,16072,True,False,True,True,
115,7115,7115,39633478433637000,92.48037002540347,68.69112704746995,main,bright,7855,True,True,False,False,Galaxy size processing returned None
116,7116,7116,39633478513330053,105.7271058271074,68.6966842620581,main,bright,7880,True,True,True,True,
117,7117,7117,39633478681103598,133.4201195984188,68.7144839556074,main,bright,7945,True,True,True,True,
